initialization,optimizer,width,trajectories,successes,success_rate,mean_first_success,median_minimum_gap,mean_gradient_evaluations
exact_target,adam,3,5,4,0.8,37.5,0.098296784422823,70.8
exact_target,adam,4,5,5,1.0,36.6,0.0986763795107474,37.6
exact_target,adam,5,5,4,0.8,31.75,0.0968039956166055,66.2
exact_target,adam,6,5,4,0.8,30.25,0.0971676223687207,65.0
exact_target,armijo_gd,3,5,5,1.0,5.6,0.0905897316044477,12.2
exact_target,armijo_gd,4,5,5,1.0,4.6,0.0929782070661779,10.2
exact_target,armijo_gd,5,5,4,0.8,3.75,0.09113095943691,86.6
exact_target,armijo_gd,6,5,5,1.0,2.6,0.0904068431234321,6.2
exact_target,diagonal_fisher,3,5,5,1.0,3.4,0.0058893255738894,7.8
exact_target,diagonal_fisher,4,5,5,1.0,2.6,0.0240212331181872,6.2
exact_target,diagonal_fisher,5,5,4,0.8,2.5,0.0433376448416034,84.6
exact_target,diagonal_fisher,6,5,5,1.0,2.4,0.0241109091506537,5.8
exact_target,exact_natural,3,5,5,1.0,5.2,0.0828783081889437,11.4
exact_target,exact_natural,4,5,5,1.0,5.2,0.0535669617823728,11.4
exact_target,exact_natural,5,5,5,1.0,5.0,0.0666040190794063,11.0
exact_target,exact_natural,6,5,5,1.0,5.0,0.0463850189214216,11.0
exact_target,projected_adam,3,5,0,0.0,,1.569519612418549,200.0
exact_target,projected_adam,4,5,0,0.0,,1.5702147581557533,200.0
exact_target,projected_adam,5,5,0,0.0,,1.415180816404959,200.0
exact_target,projected_adam,6,5,0,0.0,,1.3869437762343786,200.0
exact_target,ray_projected,3,5,0,0.0,,0.2154368283478369,200.0
exact_target,ray_projected,4,5,0,0.0,,0.1556696608616814,200.0
exact_target,ray_projected,5,5,0,0.0,,0.172827915968968,200.0
exact_target,ray_projected,6,5,0,0.0,,0.1253889703962105,200.0
exact_target,target_direction,3,5,0,0.0,,0.2154368283478369,200.0
exact_target,target_direction,4,5,0,0.0,,0.1556696608616814,200.0
exact_target,target_direction,5,5,0,0.0,,0.172827915968968,200.0
exact_target,target_direction,6,5,0,0.0,,0.1253889703962105,200.0
target_biased,adam,3,25,8,0.32,44.25,1.0086080053523112,150.48
target_biased,adam,4,25,11,0.44,40.72727272727273,1.0068394996466008,130.36
target_biased,adam,5,25,9,0.36,32.0,1.006917556355372,139.88
target_biased,adam,6,25,6,0.24,31.166666666666668,1.0069533507535553,159.72
target_biased,armijo_gd,3,25,8,0.32,6.0,1.002743061719114,275.48
target_biased,armijo_gd,4,25,11,0.44,4.909090909090909,1.0024066234250348,228.2
target_biased,armijo_gd,5,25,9,0.36,3.4444444444444446,1.0021964096591294,258.2
target_biased,armijo_gd,6,25,9,0.36,4.111111111111111,1.002085525120961,258.68
target_biased,diagonal_fisher,3,25,9,0.36,3.5555555555555554,1.0000000028093226,258.28
target_biased,diagonal_fisher,4,25,11,0.44,2.3636363636363638,1.0000000025871572,225.96
target_biased,diagonal_fisher,5,25,10,0.4,2.7,1.0000000020990765,241.96
target_biased,diagonal_fisher,6,25,9,0.36,2.7777777777777777,1.0000000024474538,257.72
target_biased,exact_natural,3,25,25,1.0,6.36,0.059732235717659,13.72
target_biased,exact_natural,4,25,25,1.0,5.8,0.0565061687819721,12.6
target_biased,exact_natural,5,25,25,1.0,5.72,0.0656351862467019,12.44
target_biased,exact_natural,6,25,25,1.0,5.48,0.0581235875689483,11.96
target_biased,projected_adam,3,25,0,0.0,,2.2588772691690675,200.0
target_biased,projected_adam,4,25,0,0.0,,1.9216374338519469,200.0
target_biased,projected_adam,5,25,0,0.0,,1.935316731398048,200.0
target_biased,projected_adam,6,25,0,0.0,,2.1927627971037964,200.0
target_biased,ray_projected,3,25,0,0.0,,0.2145173805795117,200.0
target_biased,ray_projected,4,25,0,0.0,,0.1554265429663281,200.0
target_biased,ray_projected,5,25,1,0.04,199.0,0.1715068672171078,200.0
target_biased,ray_projected,6,25,0,0.0,,0.1230393042403577,200.0
target_biased,target_direction,3,25,0,0.0,,0.4192003530702024,200.0
target_biased,target_direction,4,25,1,0.04,189.0,0.2367618980169759,199.6
target_biased,target_direction,5,25,5,0.2,181.0,0.2383185099015534,196.4
target_biased,target_direction,6,25,6,0.24,176.5,0.1672997863005392,194.6
