replay_checkpoint,optimizer,cases,rescues,rescue_rate,mean_first_success,median_minimum_gap,mean_gradient_evaluations,median_projection_displacement
199,adam,2,0,0.0,,1.0000034107458076,1000.0,0.0
199,armijo_gd,2,0,0.0,,1.000400426397956,1999.0,0.0
199,damped_natural,2,1,0.5,25.0,0.52165225952011,525.0,0.0
199,diagonal_fisher,2,0,0.0,,1.000000234609164,1999.0,0.0
199,exact_natural,2,2,1.0,27.0,0.0533385887892734,55.0,0.0
199,projected_adam,2,0,0.0,,1.0005391298897433,1000.0,0.0
199,ray_projected,2,2,1.0,216.0,0.0985046141281236,217.0,4.259815723624887
199,target_direction,2,0,0.0,,0.8492741153217214,1000.0,0.0
999,adam,2,0,0.0,,1.0000003344201742,1000.0,0.0
999,armijo_gd,2,0,0.0,,1.0002562524635819,1999.0,0.0
999,damped_natural,2,0,0.0,,1.0000000000211395,999.0,0.0
999,diagonal_fisher,2,0,0.0,,1.000000103355955,1999.0,0.0
999,exact_natural,2,2,1.0,34.0,0.06724898197345115,69.0,0.0
999,projected_adam,2,0,0.0,,1.0000566356955005,1000.0,0.0
999,ray_projected,2,2,1.0,213.0,0.098686522857279,214.0,5.6687772287136164
999,target_direction,2,0,0.0,,0.9992682112078004,1000.0,0.0
