instance_id,graph,edge_count,parameter_count,width,conditional_angle_entries,gray_code_cnot_upper_bound,order,elimination_degrees
ising_confirmatory_01,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_01,full,24,40,4,127,126,0 2 7 12 13 1 3 4 9 8 5 6 10 11 14 15,3 3 3 3 3 4 3 4 3 3 3 3 3 2 1 0
ising_confirmatory_01,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_01,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_02,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_02,full,24,40,3,99,98,0 1 2 5 6 7 8 3 9 14 11 13 4 10 12 15,3 3 3 3 3 3 3 3 3 2 2 2 3 2 1 0
ising_confirmatory_02,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_02,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_03,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_03,full,24,40,3,111,110,0 1 2 7 8 10 12 9 14 13 3 4 5 6 11 15,3 3 3 3 3 3 3 3 3 3 3 3 3 2 1 0
ising_confirmatory_03,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_03,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_04,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_04,full,24,40,4,151,150,2 9 10 0 4 3 6 7 14 8 1 5 11 12 13 15,3 3 3 4 3 4 3 3 4 4 4 3 3 2 1 0
ising_confirmatory_04,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_04,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
