instance_id,graph_problem_tree,edge_count_problem_tree,parameter_count_problem_tree,width_problem_tree,conditional_angle_entries_problem_tree,gray_code_cnot_upper_bound_problem_tree,order_problem_tree,elimination_degrees_problem_tree,graph_full,edge_count_full,parameter_count_full,width_full,conditional_angle_entries_full,gray_code_cnot_upper_bound_full,order_full,elimination_degrees_full,angle_ratio,cnot_ratio
ising_confirmatory_01,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,127,126,0 2 7 12 13 1 3 4 9 8 5 6 10 11 14 15,3 3 3 3 3 4 3 4 3 3 3 3 3 2 1 0,0.2440944881889764,0.23809523809523808
ising_confirmatory_02,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,3,99,98,0 1 2 5 6 7 8 3 9 14 11 13 4 10 12 15,3 3 3 3 3 3 3 3 3 2 2 2 3 2 1 0,0.31313131313131315,0.30612244897959184
ising_confirmatory_03,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,3,111,110,0 1 2 7 8 10 12 9 14 13 3 4 5 6 11 15,3 3 3 3 3 3 3 3 3 3 3 3 3 2 1 0,0.27927927927927926,0.2727272727272727
ising_confirmatory_04,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,151,150,2 9 10 0 4 3 6 7 14 8 1 5 11 12 13 15,3 3 3 4 3 4 3 3 4 4 4 3 3 2 1 0,0.2052980132450331,0.2
ising_confirmatory_05,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,107,106,0 1 2 6 8 10 14 3 4 7 9 11 12 5 13 15,3 3 3 3 4 3 2 2 3 3 3 3 2 2 1 0,0.2897196261682243,0.2830188679245283
ising_confirmatory_06,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,143,142,9 13 0 1 3 5 6 7 8 14 11 2 4 10 12 15,3 3 4 3 3 3 3 4 3 3 4 4 3 2 1 0,0.21678321678321677,0.2112676056338028
ising_confirmatory_07,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,3,111,110,0 10 1 7 11 2 3 4 8 6 5 12 9 13 14 15,3 3 3 3 3 3 3 3 3 3 3 3 3 2 1 0,0.27927927927927926,0.2727272727272727
ising_confirmatory_08,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,135,134,0 3 4 5 9 11 14 12 1 2 6 10 7 8 13 15,3 3 3 3 3 3 3 4 4 3 4 3 3 2 1 0,0.22962962962962963,0.22388059701492538
ising_confirmatory_09,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,135,134,0 3 5 6 14 2 4 10 7 1 9 8 11 12 13 15,3 3 3 3 3 4 3 3 4 4 3 3 3 2 1 0,0.22962962962962963,0.22388059701492538
ising_confirmatory_10,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,135,134,3 4 5 12 6 7 14 8 13 9 10 11 0 1 2 15,3 3 3 4 4 3 3 4 3 3 3 3 3 2 1 0,0.22962962962962963,0.22388059701492538
ising_confirmatory_11,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,3,99,98,5 9 0 1 3 7 10 6 11 13 2 8 4 12 14 15,3 3 3 3 3 3 3 3 3 2 2 2 3 2 1 0,0.31313131313131315,0.30612244897959184
ising_confirmatory_12,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,143,142,1 2 8 9 11 13 5 6 7 10 4 12 0 3 14 15,3 3 3 3 4 3 4 3 3 4 4 3 3 2 1 0,0.21678321678321677,0.2112676056338028
ising_confirmatory_13,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,127,126,1 3 8 9 10 14 6 13 0 2 4 5 7 11 12 15,3 3 3 3 3 4 4 3 3 3 3 3 3 2 1 0,0.2440944881889764,0.23809523809523808
ising_confirmatory_14,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,151,150,0 1 2 4 5 6 7 12 13 14 3 8 9 10 11 15,3 3 3 4 3 3 3 4 4 4 4 3 3 2 1 0,0.2052980132450331,0.2
ising_confirmatory_15,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,3,75,74,0 7 13 14 4 5 10 11 1 9 2 3 6 8 12 15,3 3 3 2 2 2 3 2 2 1 1 2 3 2 1 0,0.41333333333333333,0.40540540540540543
ising_confirmatory_16,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,3,75,74,2 10 0 5 4 14 3 9 12 11 1 7 6 8 13 15,3 2 2 2 3 2 2 3 2 2 2 2 3 2 1 0,0.41333333333333333,0.40540540540540543
ising_confirmatory_17,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,4,135,134,3 11 0 2 4 5 8 13 1 6 7 12 9 10 14 15,3 3 4 3 3 3 3 3 4 3 4 3 3 2 1 0,0.22962962962962963,0.22388059701492538
ising_confirmatory_18,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,full,24,40,5,159,158,0 1 2 3 4 7 11 6 5 12 8 10 9 13 14 15,3 3 3 3 3 3 3 4 5 4 4 3 3 2 1 0,0.1949685534591195,0.189873417721519
