split,sample_budget,method,trajectories,successes,success_rate,mean_first_success,median_first_success,mean_samples_consumed,median_samples_consumed,total_samples_consumed,trap_count,trap_rate,mean_direction_cosine,mean_direction_relative_error,mean_initial_rank,mean_storage_entries,samples_per_observed_success
calibration,0,analytic_target_cooling,20,20,1.0,12.35,12.0,0.0,0.0,0,0,0.0,1.0,0.0,-1.0,50.25,0.0
calibration,64,ray_plus_residual,20,20,1.0,9.0,9.0,576.0,576.0,11520,0,0.0,0.9785460479154511,0.21047102218962316,41.3,740.5,576.0
calibration,64,sampled_adam,20,2,0.1,45.0,45.0,11750.4,12736.0,235008,10,0.5,0.2040953214410151,0.9913341350100564,41.3,100.5,117504.0
calibration,64,sampled_diagonal_fisher,20,3,0.15,3.0,3.0,10854.4,12736.0,217088,9,0.45,0.28279584214782444,1.0830701893196877,41.3,50.25,72362.66666666667
calibration,64,sampled_full_fisher,20,18,0.9,8.166666666666666,8.0,1744.0,512.0,34880,0,0.0,0.6491782608910857,0.8220725912868687,41.3,1288.5,1937.7777777777778
calibration,64,sampled_two_block_fisher,20,7,0.35,4.571428571428571,4.0,8380.8,12736.0,167616,0,0.0,0.3654805425392968,1.0243861377103078,41.3,740.5,23945.14285714286
calibration,256,ray_plus_residual,20,20,1.0,8.2,8.0,2099.2,2048.0,41984,0,0.0,0.9782110447417331,0.2121492405868839,48.95,740.5,2099.2
calibration,256,sampled_adam,20,2,0.1,42.5,42.5,46937.6,50944.0,938752,14,0.7,0.23397750168441922,0.9896874742219623,48.95,100.5,469376.0
calibration,256,sampled_diagonal_fisher,20,3,0.15,3.0,3.0,43417.6,50944.0,868352,9,0.45,0.3334391585827524,1.0278701152242706,48.95,50.25,289450.6666666667
calibration,256,sampled_full_fisher,20,19,0.95,8.473684210526315,9.0,4608.0,2304.0,92160,0,0.0,0.9190520054119409,0.3064346271950436,48.95,1288.5,4850.526315789473
calibration,256,sampled_two_block_fisher,20,8,0.4,5.25,5.0,31104.0,50944.0,622080,0,0.0,0.518491394468607,0.8722623381274076,48.95,740.5,77760.0
calibration,1024,ray_plus_residual,20,20,1.0,7.75,8.0,7936.0,8192.0,158720,0,0.0,0.9779972100304238,0.2132402986472534,50.15,740.5,7936.0
calibration,1024,sampled_adam,20,2,0.1,40.0,40.0,187494.4,203776.0,3749888,14,0.7,0.27112354196374844,0.988035784000493,50.15,100.5,1874944.0
calibration,1024,sampled_diagonal_fisher,20,3,0.15,4.333333333333333,4.0,173875.2,203776.0,3477504,6,0.3,0.36263096780946935,0.9914316736443842,50.15,50.25,1159168.0
calibration,1024,sampled_full_fisher,20,20,1.0,9.25,9.0,9472.0,9216.0,189440,0,0.0,0.9937752650635365,0.03499379763692882,50.15,1288.5,9472.0
calibration,1024,sampled_two_block_fisher,20,8,0.4,5.75,5.0,124620.8,203776.0,2492416,0,0.0,0.5821373924621016,0.8129441604249299,50.15,740.5,311552.0
calibration,4096,ray_plus_residual,20,20,1.0,7.55,7.0,30924.8,28672.0,618496,0,0.0,0.9779994257969742,0.21323096441645362,50.25,740.5,30924.8
calibration,4096,sampled_adam,20,2,0.1,46.0,46.0,752435.2,815104.0,15048704,16,0.8,0.3016678435605725,0.9864215198745564,50.25,100.5,7524352.0
calibration,4096,sampled_diagonal_fisher,20,2,0.1,4.0,4.0,735232.0,815104.0,14704640,8,0.4,0.36953361112496563,0.983378409098999,50.25,50.25,7352320.0
calibration,4096,sampled_full_fisher,20,20,1.0,9.75,10.0,39936.0,40960.0,798720,0,0.0,1.0,2.757904156843406e-09,50.25,1288.5,39936.0
calibration,4096,sampled_two_block_fisher,20,8,0.4,5.375,5.0,497868.8,815104.0,9957376,0,0.0,0.5941025886224726,0.8042310709351442,50.25,740.5,1244672.0
evaluation,0,analytic_target_cooling,80,80,1.0,10.825,10.0,0.0,0.0,0,0,0.0,1.0,0.0,-1.0,49.6875,0.0
evaluation,64,ray_plus_residual,80,80,1.0,9.45,9.0,604.8,576.0,48384,0,0.0,0.9789488288900493,0.20844888282220264,39.9125,722.75,604.8
evaluation,64,sampled_adam,80,33,0.4125,48.15151515151515,44.0,8753.6,12736.0,700288,37,0.4625,0.2022856327387776,0.9915039287633641,39.9125,99.375,21220.848484848484
evaluation,64,sampled_diagonal_fisher,80,34,0.425,3.0588235294117645,3.0,7406.4,12736.0,592512,31,0.3875,0.2628389161883124,1.1283875733954694,39.9125,49.6875,17426.823529411766
evaluation,64,sampled_full_fisher,80,73,0.9125,7.109589041095891,7.0,1529.6,448.0,122368,0,0.0,0.6155841649798307,0.8535454319367723,39.9125,1261.75,1676.2739726027398
