sample_budget,method,trajectories,success_rate,mean_rank,mean_parameter_dimension,mean_direction_cosine,median_direction_cosine,mean_relative_error,max_identity_residual,mean_storage_entries,mean_rank_deficit
0,analytic_target_cooling,80,1.0,-1.0,49.6875,1.0,1.0,0.0,0.0,49.6875,50.6875
64,ray_plus_residual,80,1.0,39.9125,49.6875,0.9789488288900493,0.9788402878147382,0.20844888282220264,0.0,722.75,9.774999999999999
64,sampled_adam,80,0.4125,39.9125,49.6875,0.2022856327387776,0.19986435125856733,0.9915039287633641,0.0,99.375,9.774999999999999
64,sampled_diagonal_fisher,80,0.425,39.9125,49.6875,0.2628389161883124,0.2681801412616319,1.1283875733954694,0.0,49.6875,9.774999999999999
64,sampled_full_fisher,80,0.9125,39.9125,49.6875,0.6155841649798307,0.6120949806214147,0.8535454319367723,0.0,1261.75,9.774999999999999
64,sampled_two_block_fisher,80,0.6,39.9125,49.6875,0.35814154144744087,0.37275501215599127,1.0264382866864872,0.0,722.75,9.774999999999999
256,ray_plus_residual,80,1.0,48.0875,49.6875,0.9785932669393491,0.978536287308051,0.2102524449758801,0.0,722.75,1.6000000000000014
256,sampled_adam,80,0.4375,48.0875,49.6875,0.24213445667250685,0.24271293100855215,0.9896019366102374,0.0,99.375,1.6000000000000014
256,sampled_diagonal_fisher,80,0.4625,48.0875,49.6875,0.31879221486869475,0.3187355372580669,1.0485818648349272,0.0,49.6875,1.6000000000000014
256,sampled_full_fisher,80,0.9875,48.0875,49.6875,0.9046470272151724,0.92815523993769,0.3434777125013334,0.0,1261.75,1.6000000000000014
256,sampled_two_block_fisher,80,0.7125,48.0875,49.6875,0.47646037559479815,0.47238158099180416,0.8980859044440423,0.0,722.75,1.6000000000000014
1024,ray_plus_residual,80,1.0,49.5875,49.6875,0.9783874090368638,0.9783841845253416,0.21130097529599196,0.0,722.75,0.10000000000000142
1024,sampled_adam,80,0.425,49.5875,49.6875,0.25690794777312725,0.26378083874288427,0.9888718745295033,0.0,99.375,0.10000000000000142
1024,sampled_diagonal_fisher,80,0.45,49.5875,49.6875,0.34215460248974355,0.33683028698864437,1.0197419003979864,0.0,49.6875,0.10000000000000142
1024,sampled_full_fisher,80,1.0,49.5875,49.6875,0.9909325704471714,1.0,0.04227473369433125,0.0,1261.75,0.10000000000000142
1024,sampled_two_block_fisher,80,0.725,49.5875,49.6875,0.539911747905254,0.539226517613465,0.8448377830850269,0.0,722.75,0.10000000000000142
4096,ray_plus_residual,80,1.0,49.675,49.6875,0.9784030425603281,0.9784076898124712,0.21121730074061817,0.0,722.75,0.012500000000002842
4096,sampled_adam,80,0.425,49.675,49.6875,0.2632869290500555,0.26598186186888917,0.988563408686937,0.0,99.375,0.012500000000002842
4096,sampled_diagonal_fisher,80,0.4625,49.675,49.6875,0.34770151938271154,0.34691252385903903,1.0153421583465099,0.0,49.6875,0.012500000000002842
4096,sampled_full_fisher,80,1.0,49.675,49.6875,0.9991476887860822,1.0,0.00461603792600354,0.0,1261.75,0.012500000000002842
4096,sampled_two_block_fisher,80,0.725,49.675,49.6875,0.5483702465285548,0.5510402268739503,0.8386469201043998,0.0,722.75,0.012500000000002842
