sample_budget,method,success_rate,ci_low,ci_median,ci_high,instances,trajectories,successes
0,analytic_target_cooling,1.0,1.0,1.0,1.0,16.0,80.0,80.0
64,ray_plus_residual,1.0,1.0,1.0,1.0,16.0,80.0,80.0
64,sampled_adam,0.4125,0.30000000000000004,0.4125,0.5125000000000001,16.0,80.0,33.0
64,sampled_diagonal_fisher,0.425,0.325,0.42500000000000004,0.525,16.0,80.0,34.0
64,sampled_full_fisher,0.9125,0.8375,0.9125000000000001,0.975,16.0,80.0,73.0
64,sampled_two_block_fisher,0.6,0.4750000000000001,0.6000000000000001,0.7125000000000001,16.0,80.0,48.0
256,ray_plus_residual,1.0,1.0,1.0,1.0,16.0,80.0,80.0
256,sampled_adam,0.4375,0.3375,0.4375,0.5375000000000001,16.0,80.0,35.0
256,sampled_diagonal_fisher,0.4625,0.36250000000000004,0.4625,0.5625,16.0,80.0,37.0
256,sampled_full_fisher,0.9875,0.9624999999999999,0.9875,1.0,16.0,80.0,79.0
256,sampled_two_block_fisher,0.7125,0.625,0.7125,0.7875000000000001,16.0,80.0,57.0
1024,ray_plus_residual,1.0,1.0,1.0,1.0,16.0,80.0,80.0
1024,sampled_adam,0.425,0.3125,0.42500000000000004,0.5375000000000001,16.0,80.0,34.0
1024,sampled_diagonal_fisher,0.45,0.3375,0.45,0.5625,16.0,80.0,36.0
1024,sampled_full_fisher,1.0,1.0,1.0,1.0,16.0,80.0,80.0
1024,sampled_two_block_fisher,0.725,0.6624999999999999,0.725,0.7875000000000001,16.0,80.0,58.0
4096,ray_plus_residual,1.0,1.0,1.0,1.0,16.0,80.0,80.0
4096,sampled_adam,0.425,0.3125,0.42500000000000004,0.5375000000000001,16.0,80.0,34.0
4096,sampled_diagonal_fisher,0.4625,0.35,0.4625,0.5625,16.0,80.0,37.0
4096,sampled_full_fisher,1.0,1.0,1.0,1.0,16.0,80.0,80.0
4096,sampled_two_block_fisher,0.725,0.6375,0.7250000000000001,0.8125,16.0,80.0,58.0
