sample_budget,method_a,method_b,difference,ci_low,ci_median,ci_high,a_only,b_only,both,neither,pairs
64,sampled_diagonal_fisher,sampled_adam,0.0125,-0.037500000000000006,0.0125,0.0625,3,2,31,44,80
64,sampled_two_block_fisher,sampled_adam,0.1875,0.1,0.1875,0.275,17,2,31,30,80
64,sampled_full_fisher,sampled_adam,0.5,0.3875,0.5,0.6125,40,0,33,7,80
64,ray_plus_residual,sampled_adam,0.5875,0.4875,0.5875,0.6875000000000001,47,0,33,0,80
64,analytic_target_cooling,sampled_adam,0.5875,0.4875,0.5875,0.7,47,0,33,0,80
256,sampled_diagonal_fisher,sampled_adam,0.025,-0.025,0.025,0.07500000000000001,3,1,34,42,80
256,sampled_two_block_fisher,sampled_adam,0.275,0.21250000000000002,0.275,0.35,22,0,35,23,80
256,sampled_full_fisher,sampled_adam,0.55,0.44999999999999996,0.55,0.6500000000000001,44,0,35,1,80
256,ray_plus_residual,sampled_adam,0.5625,0.4625,0.5625,0.6625000000000001,45,0,35,0,80
256,analytic_target_cooling,sampled_adam,0.5625,0.4625,0.5625,0.6625000000000001,45,0,35,0,80
1024,sampled_diagonal_fisher,sampled_adam,0.025,-0.025,0.025,0.07500000000000001,3,1,33,43,80
1024,sampled_two_block_fisher,sampled_adam,0.3,0.21250000000000002,0.30000000000000004,0.38750000000000007,24,0,34,22,80
1024,sampled_full_fisher,sampled_adam,0.575,0.4625,0.575,0.6875,46,0,34,0,80
1024,ray_plus_residual,sampled_adam,0.575,0.4625,0.575,0.6875,46,0,34,0,80
1024,analytic_target_cooling,sampled_adam,0.575,0.4625,0.575,0.6875,46,0,34,0,80
4096,sampled_diagonal_fisher,sampled_adam,0.0375,0.0,0.037500000000000006,0.07500000000000001,3,0,34,43,80
4096,sampled_two_block_fisher,sampled_adam,0.3,0.225,0.30000000000000004,0.375,24,0,34,22,80
4096,sampled_full_fisher,sampled_adam,0.575,0.4625,0.575,0.6875,46,0,34,0,80
4096,ray_plus_residual,sampled_adam,0.575,0.4625,0.575,0.6875,46,0,34,0,80
4096,analytic_target_cooling,sampled_adam,0.575,0.4625,0.575,0.6875,46,0,34,0,80
