checkpoint,sample_budget,method,trajectories,successes,success_rate,mean_first_success,median_minimum_gap,trap_count,mean_initial_rank,mean_direction_cosine,mean_samples
199,0,analytic_target_cooling,2,2,1.0,53.5,0.06549433313255455,0,-1.0,1.0,0.0
199,64,ray_plus_residual,10,10,1.0,20.5,0.061276144068156804,0,1.6,0.9899754681342496,1312.0
199,64,sampled_adam,10,0,0.0,,1.0008294424303363,0,1.6,0.03250292342309234,12736.0
199,64,sampled_full_fisher,10,0,0.0,,1.0006050563877729,4,1.6,0.06177604616868228,12736.0
199,256,ray_plus_residual,10,10,1.0,19.2,0.06721111467300205,0,3.6,0.9812068463275491,4915.2
199,256,sampled_adam,10,0,0.0,,1.0003004492882885,10,3.6,0.022399826975212724,50944.0
199,256,sampled_full_fisher,10,0,0.0,,1.0001783171615148,10,3.6,0.07724159533894326,50944.0
199,1024,ray_plus_residual,10,10,1.0,17.9,0.06610316119941205,0,5.8,0.9792625388726661,18329.6
199,1024,sampled_adam,10,0,0.0,,1.0001190801647333,10,5.8,0.037974729956047934,203776.0
199,1024,sampled_full_fisher,10,0,0.0,,1.0000444347492365,10,5.8,0.11670021664949988,203776.0
199,4096,ray_plus_residual,10,10,1.0,18.2,0.05645389980857635,0,10.8,0.979311679674552,74547.2
199,4096,sampled_adam,10,0,0.0,,1.0000522782855814,10,10.8,0.12372613177337546,815104.0
199,4096,sampled_full_fisher,10,0,0.0,,1.0000102941919522,10,10.8,0.19011073100758463,815104.0
999,0,analytic_target_cooling,2,2,1.0,67.5,0.08439600343794046,0,-1.0,1.0,0.0
999,64,ray_plus_residual,10,10,1.0,22.9,0.068688536351936,0,0.3,0.9948972481934855,1465.6
999,64,sampled_adam,10,0,0.0,,1.0004140099360121,0,0.3,,12736.0
999,64,sampled_full_fisher,10,0,0.0,,1.00033785533895,0,0.3,,12736.0
999,256,ray_plus_residual,10,10,1.0,22.4,0.0649712953553436,0,0.9,0.9948972481934855,5734.4
999,256,sampled_adam,10,0,0.0,,1.00013122002973,0,0.9,,50944.0
999,256,sampled_full_fisher,10,0,0.0,,1.0001405168509496,0,0.9,,50944.0
999,1024,ray_plus_residual,10,10,1.0,21.7,0.060902577820797846,0,2.3,0.9882132865303497,22220.8
999,1024,sampled_adam,10,0,0.0,,1.000067075222196,4,2.3,0.015894198397386552,203776.0
999,1024,sampled_full_fisher,10,0,0.0,,1.000041524245436,8,2.3,0.05153771908926155,203776.0
999,4096,ray_plus_residual,10,10,1.0,20.8,0.06368461104382735,0,3.4,0.9831264868512599,85196.8
999,4096,sampled_adam,10,0,0.0,,1.000020601091384,10,3.4,0.03755631771085778,815104.0
999,4096,sampled_full_fisher,10,0,0.0,,1.0000090600113083,10,3.4,0.08331539698601345,815104.0
