instance_id,checkpoint,sample_budget,method,trajectories,successes,success_rate,mean_first_success,mean_initial_rank,mean_direction_cosine,median_final_gap
ct_w5_i1,199,0,analytic_target_cooling,1,1,1.0,60.0,-1.0,1.0,0.066623053377695
ct_w5_i1,199,64,ray_plus_residual,5,5,1.0,22.0,1.0,0.99342192930996,0.0639948654439184
ct_w5_i1,199,64,sampled_adam,5,0,0.0,,1.0,0.0514344499873639,1.0008441959754872
ct_w5_i1,199,64,sampled_full_fisher,5,0,0.0,,1.0,0.0514344499871622,1.0006531724705727
ct_w5_i1,199,256,ray_plus_residual,5,5,1.0,20.6,3.6,0.9827766373445177,0.058863896896419
ct_w5_i1,199,256,sampled_adam,5,0,0.0,,3.6,0.020182515383568116,1.0002517781796207
ct_w5_i1,199,256,sampled_full_fisher,5,0,0.0,,3.6,0.07696081027150563,1.0001445630959918
ct_w5_i1,199,1024,ray_plus_residual,5,5,1.0,19.2,5.2,0.9789475278605112,0.0754355120799186
ct_w5_i1,199,1024,sampled_adam,5,0,0.0,,5.2,0.03974678356854435,1.0001118488383405
ct_w5_i1,199,1024,sampled_full_fisher,5,0,0.0,,5.2,0.11409714758545306,1.0000358761856862
ct_w5_i1,199,4096,ray_plus_residual,5,5,1.0,19.4,11.2,0.9788726564878228,0.0556952907539152
ct_w5_i1,199,4096,sampled_adam,5,0,0.0,,11.2,0.14259374180970102,1.0000471803012283
ct_w5_i1,199,4096,sampled_full_fisher,5,0,0.0,,11.2,0.20424432227798608,1.000010804738988
ct_w5_i1,999,0,analytic_target_cooling,1,1,1.0,77.0,-1.0,1.0,0.0925496420103719
ct_w5_i1,999,64,ray_plus_residual,5,5,1.0,24.8,0.2,0.9949541443088158,0.0546665324155899
ct_w5_i1,999,64,sampled_adam,5,0,0.0,,0.2,,1.0004303508382328
ct_w5_i1,999,64,sampled_full_fisher,5,0,0.0,,0.2,,1.000301761501488
ct_w5_i1,999,256,ray_plus_residual,5,5,1.0,23.8,0.8,0.9949541443088158,0.0789404236605229
ct_w5_i1,999,256,sampled_adam,5,0,0.0,,0.8,,1.000125009451578
ct_w5_i1,999,256,sampled_full_fisher,5,0,0.0,,0.8,,1.0001362966347678
ct_w5_i1,999,1024,ray_plus_residual,5,5,1.0,23.2,2.6,0.9848236119564421,0.0556648753928517
ct_w5_i1,999,1024,sampled_adam,5,0,0.0,,2.6,0.010591657150321536,1.0000624008935777
ct_w5_i1,999,1024,sampled_full_fisher,5,0,0.0,,2.6,0.051434430539601034,1.0000369571415657
ct_w5_i1,999,4096,ray_plus_residual,5,5,1.0,22.6,3.0,0.9846844639201227,0.0666874441359013
ct_w5_i1,999,4096,sampled_adam,5,0,0.0,,3.0,0.0367979999141971,1.0000203918136084
ct_w5_i1,999,4096,sampled_full_fisher,5,0,0.0,,3.0,0.0843995293196418,1.0000093494280584
ct_w6_i1,199,0,analytic_target_cooling,1,1,1.0,47.0,-1.0,1.0,0.0643656128874141
ct_w6_i1,199,64,ray_plus_residual,5,5,1.0,19.0,2.2,0.9865290069585393,0.0585574226923952
ct_w6_i1,199,64,sampled_adam,5,0,0.0,,2.2,0.026192414568335154,1.0008146888851854
ct_w6_i1,199,64,sampled_full_fisher,5,0,0.0,,2.2,0.06522324489585563,1.000556940304973
ct_w6_i1,199,256,ray_plus_residual,5,5,1.0,17.8,3.6,0.9796370553105804,0.0866211979020921
ct_w6_i1,199,256,sampled_adam,5,0,0.0,,3.6,0.024173676248528415,1.0003304567722768
ct_w6_i1,199,256,sampled_full_fisher,5,0,0.0,,3.6,0.07746622339289336,1.0002189011406113
ct_w6_i1,199,1024,ray_plus_residual,5,5,1.0,16.6,6.4,0.9795775498848208,0.0603001512184508
ct_w6_i1,199,1024,sampled_adam,5,0,0.0,,6.4,0.036202676343551524,1.0001333955154212
ct_w6_i1,199,1024,sampled_full_fisher,5,0,0.0,,6.4,0.11930328571354672,1.0000551401468645
ct_w6_i1,199,4096,ray_plus_residual,5,5,1.0,17.0,10.4,0.9797507028612815,0.0846264927538413
ct_w6_i1,199,4096,sampled_adam,5,0,0.0,,10.4,0.10485852173704988,1.0000541964597094
ct_w6_i1,199,4096,sampled_full_fisher,5,0,0.0,,10.4,0.17597713973718315,1.0000097836449164
ct_w6_i1,999,0,analytic_target_cooling,1,1,1.0,58.0,-1.0,1.0,0.076242364865509
ct_w6_i1,999,64,ray_plus_residual,5,5,1.0,21.0,0.4,0.994840352078155,0.0711436213979084
