instance_id,instance_width,split,n,chain_parameter_dimension,beta_for_full_gap_0p1,full_gap_check,planted_probability,analytic_product_probability,probability_residual
ct_w3_i1,3,calibration,16,31,2.980930566328157,0.09999999999999787,0.9596862419645407,0.9596862419645398,8.881784197001252e-16
ct_w3_i2,3,evaluation,16,31,2.897012616952454,0.09999999999999432,0.9525076835384755,0.9525076835384764,8.881784197001252e-16
ct_w3_i3,3,evaluation,16,31,2.9407300968811034,0.09999999999999432,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w3_i4,3,evaluation,16,31,2.897012616952454,0.09999999999999787,0.9525076835384755,0.9525076835384764,8.881784197001252e-16
ct_w3_i5,3,evaluation,16,31,2.8970126169524573,0.09999999999999964,0.9525076835384759,0.9525076835384764,4.440892098500626e-16
ct_w4_i1,4,calibration,16,31,2.9407300968811034,0.09999999999999609,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w4_i2,4,evaluation,16,31,2.9407300968811034,0.09999999999999964,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w4_i3,4,evaluation,16,31,2.8970126169524573,0.09999999999999787,0.9525076835384759,0.9525076835384764,4.440892098500626e-16
ct_w4_i4,4,evaluation,16,31,2.9809305663281176,0.09999999999999609,0.9596862419645382,0.9596862419645363,1.887379141862766e-15
ct_w4_i5,4,evaluation,16,31,2.9407300968810954,0.09999999999999964,0.9563903546618215,0.9563903546618238,2.220446049250313e-15
ct_w5_i1,5,calibration,16,31,2.9407300968811034,0.09999999999998899,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w5_i2,5,evaluation,16,31,2.980930566328164,0.09999999999999432,0.9596862419645417,0.9596862419645431,1.4432899320127035e-15
ct_w5_i3,5,evaluation,16,31,2.980930566328157,0.09999999999999964,0.9596862419645407,0.9596862419645398,8.881784197001252e-16
ct_w5_i4,5,evaluation,16,31,2.9407300968811034,0.09999999999999609,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w5_i5,5,evaluation,16,31,2.9407300968811034,0.09999999999999787,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w6_i1,6,calibration,16,31,2.9407300968811034,0.09999999999999609,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w6_i2,6,evaluation,16,31,2.980930566328164,0.09999999999999076,0.9596862419645417,0.9596862419645431,1.4432899320127035e-15
ct_w6_i3,6,evaluation,16,31,2.9407300968811034,0.09999999999999432,0.956390354661823,0.9563903546618238,7.771561172376096e-16
ct_w6_i4,6,evaluation,16,31,2.980930566328164,0.09999999999999076,0.9596862419645417,0.9596862419645431,1.4432899320127035e-15
ct_w6_i5,6,evaluation,16,31,2.980930566328164,0.09999999999999609,0.9596862419645417,0.9596862419645431,1.4432899320127035e-15
