graph,method,n,cos_exact_mean,cos_exact_median,relative_error_median,cos_target_mean
chain,exact_diagonal,80,0.8194417848251117,0.8275530645139357,0.595787781200282,-0.6684935444790574
chain,exact_natural,80,1.0,1.0,0.0,-0.764040103523209
chain,exact_regularized_full,80,0.9621273271256859,0.9673099729419986,0.2836315063184045,-0.7596630814149148
chain,exact_star,80,0.5695800007091287,0.6094490945898124,0.8759184353304535,-0.20685145777447916
chain,exact_two_block,80,0.868587033452908,0.8794090851142629,0.49409505605187853,-0.7560777122510458
chain,projected_target,80,-0.764040103523209,-0.8245630550009537,2.779066646040561,1.0
problem_tree,exact_diagonal,80,0.5033388962723991,0.49961981129038413,0.9671834971291807,0.2246995130679917
problem_tree,exact_natural,80,1.0,1.0,0.0,0.788724308041477
problem_tree,exact_regularized_full,80,0.8124174445651938,0.8175730938534993,0.6055105556427749,0.45686317147070293
problem_tree,exact_star,80,0.7532290724821443,0.7529682987982942,0.6672031615826446,0.5353124921887868
problem_tree,exact_two_block,80,0.26365739956256556,0.2406986413867597,1.1382409941067002,-0.14417481712596764
problem_tree,projected_target,80,0.788724308041477,0.8038741650120841,1.2966566384417026,1.0
width2,exact_diagonal,80,0.3590224036527969,0.3590681037077216,0.9475237143621704,0.2946374392089207
width2,exact_natural,80,1.0,1.0,0.0,0.964744745249624
width2,exact_regularized_full,80,0.8942556476971133,0.9011657264310375,0.5857283597690035,0.8182428670597229
width2,exact_star,80,0.6896997305431398,0.6956708311210913,0.7640949367128413,0.6280485774892715
width2,exact_two_block,80,0.3963220092441762,0.42108089935240656,0.9092025904372341,0.2934312295353637
width2,projected_target,80,0.964744745249624,0.9717282913634656,0.3222382734332956,1.0
width3,exact_diagonal,80,0.34636390996946853,0.3491126286385693,0.9394414263981965,0.3307709660155057
width3,exact_natural,80,1.0,1.0,0.0,0.9915534339660544
width3,exact_regularized_full,80,0.9122387135336287,0.9182447127865225,0.5817388369492836,0.8957028141680808
width3,exact_star,80,0.6564417828120057,0.6651433556295092,0.8099288276315975,0.6409068205338821
width3,exact_two_block,80,0.496878828966541,0.5062390170031599,0.8834953166592314,0.46982824356209657
width3,projected_target,80,0.9915534339660544,0.992511816530562,0.1393712273203537,1.0
