graph,nominal_budget,estimator,samples_per_update,gradient_batch,fisher_batch,trajectories,successes,success_rate,ci_low,ci_high,mean_first_direction_cosine,mean_rank
problem_tree,256,same_batch,256,256,256,80,75,0.9375,0.825,1.0,,28.1875
problem_tree,256,independent_split_total,256,128,128,80,71,0.8875,0.75,0.975,0.40824602454928893,26.15
problem_tree,256,independent_equal_batches,512,256,256,80,73,0.9125,0.7749999999999999,1.0,0.5200172200880179,28.0375
width3,64,same_batch,64,64,64,80,54,0.675,0.5875,0.7625,,37.75
width3,64,independent_split_total,64,32,32,80,18,0.225,0.15000000000000002,0.30000000000000004,0.21453855002920458,26.9125
width3,64,independent_equal_batches,128,64,64,80,45,0.5625,0.43750000000000006,0.6875,0.35375656779429576,37.875
width3,256,same_batch,256,256,256,80,66,0.825,0.7625,0.8875000000000001,,45.5875
width3,256,independent_split_total,256,128,128,80,58,0.725,0.625,0.8125,0.5546203750091785,43.425
width3,256,independent_equal_batches,512,256,256,80,64,0.8,0.7000000000000001,0.8875,0.6898135669980976,45.775
width3,1024,same_batch,1024,1024,1024,80,70,0.875,0.8,0.9375,,47.1625
width3,1024,independent_split_total,1024,512,512,80,70,0.875,0.8,0.9375,0.7953157780035536,46.9625
