graph,oracle,comparison_method,paired_trajectories,mean_difference,ci_low,ci_median,ci_high,left_only,right_only
chain,exact_natural_oracle,sampled_adam,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
chain,exact_natural_oracle,sampled_diagonal_fisher,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
chain,exact_natural_oracle,sampled_two_block_fisher,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
chain,exact_natural_oracle,sampled_star_fisher,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
chain,exact_natural_oracle,sampled_bag_fisher,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
chain,exact_natural_oracle,sampled_full_fisher,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
chain,exact_natural_oracle,protected_ray_star,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
problem_tree,exact_natural_oracle,sampled_adam,80,0.1875,0.07500000000000001,0.1875,0.3375,15,0
problem_tree,exact_natural_oracle,sampled_diagonal_fisher,80,0.125,0.0625,0.125,0.1875,10,0
problem_tree,exact_natural_oracle,sampled_two_block_fisher,80,0.0375,0.0,0.037500000000000006,0.07500000000000001,3,0
problem_tree,exact_natural_oracle,sampled_star_fisher,80,0.0625,0.025,0.0625,0.1125,5,0
problem_tree,exact_natural_oracle,sampled_bag_fisher,80,0.0375,0.0,0.037500000000000006,0.07500000000000001,3,0
problem_tree,exact_natural_oracle,sampled_full_fisher,80,0.0125,0.0,0.0125,0.037500000000000006,1,0
problem_tree,exact_natural_oracle,protected_ray_star,80,0.5125,0.2625,0.5125,0.75,41,0
width2,exact_natural_oracle,sampled_adam,80,0.4875,0.3375,0.48750000000000004,0.6375,39,0
width2,exact_natural_oracle,sampled_diagonal_fisher,80,0.525,0.375,0.525,0.675,42,0
width2,exact_natural_oracle,sampled_two_block_fisher,80,0.4125,0.25,0.4125,0.5625,33,0
width2,exact_natural_oracle,sampled_star_fisher,80,0.4,0.25,0.4,0.5499999999999999,32,0
width2,exact_natural_oracle,sampled_bag_fisher,80,0.425,0.275,0.425,0.5750000000000001,34,0
width2,exact_natural_oracle,sampled_full_fisher,80,0.175,0.07500000000000001,0.175,0.2875,14,0
width2,exact_natural_oracle,protected_ray_star,80,0.3125,0.1,0.3125,0.525,28,3
width3,exact_natural_oracle,sampled_adam,80,0.6125,0.5,0.6125,0.7250000000000001,49,0
width3,exact_natural_oracle,sampled_diagonal_fisher,80,0.575,0.4625,0.575,0.7,46,0
width3,exact_natural_oracle,sampled_two_block_fisher,80,0.425,0.3125,0.42500000000000004,0.5375000000000001,34,0
width3,exact_natural_oracle,sampled_star_fisher,80,0.45,0.35,0.45,0.5625,36,0
width3,exact_natural_oracle,sampled_bag_fisher,80,0.4375,0.3125,0.4375,0.5625,35,0
width3,exact_natural_oracle,sampled_full_fisher,80,0.175,0.1125,0.17500000000000002,0.23750000000000004,14,0
width3,exact_natural_oracle,protected_ray_star,80,0.1125,0.0,0.1125,0.2625,9,0
