method,left_graph,right_graph,paired_trajectories,mean_difference,cluster_ci_low,cluster_ci_median,cluster_ci_high,left_only_successes,right_only_successes
sampled_adam,problem_tree,chain,80,0.7625,0.5875,0.7625000000000001,0.9125,61,0
sampled_adam,width2,problem_tree,80,-0.36249999999999993,-0.5625,-0.36250000000000004,-0.1625,3,32
sampled_adam,width3,width2,80,-0.012500000000000011,-0.1625,-0.0125,0.1375,11,12
sampled_adam,width3,chain,80,0.3875,0.275,0.3875,0.5,31,0
sampled_diagonal_fisher,problem_tree,chain,80,0.825,0.6875,0.8250000000000001,0.925,66,0
sampled_diagonal_fisher,width2,problem_tree,80,-0.46249999999999997,-0.6375,-0.4625,-0.2875,3,40
sampled_diagonal_fisher,width3,width2,80,0.0625,-0.08750000000000001,0.0625,0.21250000000000002,14,9
sampled_diagonal_fisher,width3,chain,80,0.425,0.3125,0.42500000000000004,0.5375,34,0
sampled_two_block_fisher,problem_tree,chain,80,0.9125,0.7749999999999999,0.925,1.0,73,0
sampled_two_block_fisher,width2,problem_tree,80,-0.4375,-0.6499999999999999,-0.4375,-0.22500000000000003,2,37
sampled_two_block_fisher,width3,width2,80,0.09999999999999998,-0.037500000000000006,0.1,0.25,15,7
sampled_two_block_fisher,width3,chain,80,0.575,0.4625,0.575,0.6875,46,0
sampled_star_fisher,problem_tree,chain,80,0.8875,0.75,0.8999999999999999,0.975,71,0
sampled_star_fisher,width2,problem_tree,80,-0.39999999999999997,-0.6125,-0.4,-0.1875,4,36
sampled_star_fisher,width3,width2,80,0.06250000000000006,-0.07500000000000001,0.0625,0.2125,14,9
sampled_star_fisher,width3,chain,80,0.55,0.4375,0.55,0.65,44,0
sampled_full_fisher,problem_tree,chain,80,0.9375,0.825,0.9375,1.0,75,0
sampled_full_fisher,width2,problem_tree,80,-0.22499999999999998,-0.39999999999999997,-0.225,-0.0625,3,21
sampled_full_fisher,width3,width2,80,0.11249999999999993,-0.012500000000000004,0.11249999999999999,0.25,16,7
sampled_full_fisher,width3,chain,80,0.825,0.7625,0.8250000000000001,0.8875000000000001,66,0
protected_ray_star,problem_tree,chain,80,0.4375,0.1875,0.4375,0.6875,35,0
protected_ray_star,width2,problem_tree,80,0.13749999999999996,-0.2125,0.1375,0.475,27,16
protected_ray_star,width3,width2,80,0.3125,0.025,0.3125,0.6,32,7
protected_ray_star,width3,chain,80,0.8875,0.7375,0.8875,1.0,71,0
