instance_id,instance_width,graph,compiled_graph_width,edge_count,target_edge_count,pair_weight_fraction,target_norm_fraction,elimination_order,elimination_degrees,edges,energy_at_projected_target,cost_variance,explained_variance_fraction,projected_identity_relative_residual,exact_ng_projected_target_cosine,parameter_dimension
ct_w3_i1,3,chain,1,15,2,0.0392156862745098,0.7277777777777777,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.2635958455190375,3.6257947055184774,0.7911592125602631,2.0435074603804373,-0.8862264025028002,31
ct_w3_i1,3,problem_tree,1,15,15,0.6470588235294118,0.9,4 6 3 8 5 9 10 0 12 7 13 14 1 11 2 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-10;0-11;1-11;1-13;1-14;2-7;2-9;2-11;2-15;3-6;3-11;4-7;5-8;5-12;7-12,-8.279439180449607,4.2060079226085385,0.7413723397050112,0.8558198394696357,0.9045093664367364,31
ct_w3_i1,3,width2,2,29,29,0.9215686274509803,0.9777777777777777,0 4 6 3 8 5 7 10 12 13 1 14 9 2 11 15,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-10;0-11;1-11;1-13;1-14;2-7;2-9;2-10;2-11;2-12;2-15;3-6;3-9;3-11;4-7;4-12;5-7;5-8;5-12;6-11;7-12;8-12;9-11;9-12;9-14;10-11;11-14;11-15;13-14,-9.013906365250524,2.8388151597433238,0.8539334417357081,0.6543269083303311,0.9863463493264852,45
ct_w3_i1,3,width3,3,33,33,1.0,1.0,0 4 6 3 8 5 15 1 13 14 7 9 2 10 11 12,2 2 2 2 2 2 2 3 3 3 3 3 3 2 1 0,0-10;0-11;1-11;1-13;1-14;2-7;2-9;2-10;2-11;2-12;2-13;2-14;2-15;3-6;3-9;3-11;4-7;4-12;5-7;5-8;5-12;6-11;7-10;7-12;8-12;9-11;9-12;9-14;10-11;11-13;11-14;11-15;13-14,-9.206122912478833,2.765038279512936,0.9999999999988395,2.4223999883541657e-13,0.9999999999999999,49
ct_w3_i1,3,full,3,33,33,1.0,1.0,0 1 6 3 4 8 5 7 10 12 9 13 14 2 11 15,2 3 2 2 2 2 2 3 3 3 3 3 2 2 1 0,0-10;0-11;1-11;1-13;1-14;2-7;2-9;2-10;2-11;2-12;2-13;2-14;2-15;3-6;3-9;3-11;4-7;4-12;5-7;5-8;5-12;6-11;7-10;7-12;8-12;9-11;9-12;9-14;10-11;11-13;11-14;11-15;13-14,-9.206122912478833,2.765038279512936,0.9999999999988395,2.4223999883541657e-13,0.9999999999999999,49
ct_w3_i2,3,chain,1,15,3,0.16216216216216217,0.7416666666666667,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.7520839633844383,3.693844024716842,0.5378268360674497,2.255781493680383,-0.3374365315977545,31
ct_w3_i2,3,problem_tree,1,15,15,0.5675675675675675,0.8666666666666667,7 2 8 9 3 10 12 5 6 1 13 14 4 11 0 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-8;0-11;0-13;0-15;1-6;1-15;2-6;2-7;3-9;3-11;4-10;4-11;4-14;5-6;5-12,-7.2029613196219096,3.477775572703001,0.8141653182693006,0.7322962590219456,0.8510239156553605,31
ct_w3_i2,3,width2,2,27,27,0.8918918918918919,0.9666666666666667,1 2 5 7 8 9 3 10 13 14 4 0 6 11 12 15,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-8;0-11;0-13;0-15;1-6;1-15;2-6;2-7;3-9;3-11;3-13;4-10;4-11;4-12;4-14;5-6;5-12;6-7;6-12;6-15;7-12;8-15;9-13;10-12;11-12;11-13;11-14,-7.161985207847884,2.4116539600996556,0.8338032128768057,0.7421827447308729,0.971935826786819,43
ct_w3_i2,3,width3,3,31,31,1.0,1.0,1 2 8 9 14 7 5 15 3 4 10 0 6 11 12 13,2 2 2 2 2 3 3 2 3 3 3 3 3 2 1 0,0-8;0-11;0-13;0-15;1-6;1-15;2-6;2-7;3-9;3-11;3-12;3-13;4-10;4-11;4-12;4-14;5-6;5-7;5-10;5-12;6-7;6-10;6-12;6-15;7-12;8-15;9-13;10-12;11-12;11-13;11-14,-7.415720973070275,2.3769275691285294,0.9999999999991732,2.423228702750752e-13,1.0000000000000002,47
ct_w3_i2,3,full,3,31,31,1.0,1.0,1 2 9 3 14 4 7 5 10 12 11 13 6 0 8 15,2 2 2 3 2 3 3 3 3 3 3 2 2 2 1 0,0-8;0-11;0-13;0-15;1-6;1-15;2-6;2-7;3-9;3-11;3-12;3-13;4-10;4-11;4-12;4-14;5-6;5-7;5-10;5-12;6-7;6-10;6-12;6-15;7-12;8-15;9-13;10-12;11-12;11-13;11-14,-7.415720973070275,2.3769275691285294,0.9999999999991732,2.423228702750752e-13,1.0000000000000002,47
ct_w3_i3,3,chain,1,15,2,0.043478260869565216,0.7027027027027027,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.0501382249008913,3.743587072657797,0.6543239757687562,2.4483047718011073,-0.8625504847871246,31
ct_w3_i3,3,problem_tree,1,15,15,0.6521739130434783,0.8918918918918919,2 3 5 6 0 9 11 12 13 1 7 14 10 4 8 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-6;0-11;1-7;1-11;1-13;2-8;3-7;4-8;4-9;4-10;4-12;5-7;7-15;8-15;10-14,-7.665744035395436,3.248669459150162,0.6056559922780875,0.7464118197930705,0.9466298349276631,31
ct_w3_i3,3,width2,2,26,26,0.8913043478260869,0.9662162162162162,0 2 3 8 9 12 13 14 4 10 5 15 1 6 7 11,2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 0,0-6;0-11;1-7;1-11;1-13;1-15;2-8;2-15;3-7;3-13;4-8;4-9;4-10;4-12;4-15;5-7;5-10;5-14;5-15;6-7;6-11;7-13;7-15;8-15;9-12;10-14,-8.161661532760498,2.64295597840631,0.7856451895686484,0.8113520791655355,0.990326854132677,42
ct_w3_i3,3,width3,3,31,31,1.0,1.0,0 2 9 12 8 3 6 11 13 1 7 15 4 5 10 14,2 2 2 1 3 3 3 3 2 2 3 2 3 2 1 0,0-6;0-11;1-7;1-11;1-13;1-15;2-8;2-15;3-6;3-7;3-13;4-7;4-8;4-9;4-10;4-12;4-14;4-15;5-7;5-10;5-14;5-15;6-7;6-11;7-8;7-13;7-15;8-15;9-12;10-14;11-13,-8.458459130786586,2.6007190551296357,0.9999999999993291,3.4893050291225317e-13,1.0,47
