graph,method,method_label,trajectories,successes,success_rate,cluster_ci_low,cluster_ci_median,cluster_ci_high,mean_first_success_step,median_minimum_gap,trap_candidate_rate,total_samples,samples_per_observed_success,median_stored_metric_entries
chain,exact_natural_oracle,Exact natural oracle,80,1,0.0125,0.0,0.0125,0.037500000000000006,10.0,1.000000000109905,0.5,0,0.0,91.0
chain,protected_ray_star,Protected target + star,80,0,0.0,0.0,0.0,0.0,,2.666086697211999,0.0,4075520,inf,90.0
chain,sampled_adam,Sampled Adam,80,0,0.0,0.0,0.0,0.0,,2.0325283486767445,0.8,4075520,inf,62.0
chain,sampled_bag_fisher,Elimination-bag Fisher,80,0,0.0,0.0,0.0,0.0,,2.0000377896553045,0.6125,4075520,inf,91.0
chain,sampled_diagonal_fisher,Diagonal Fisher,80,0,0.0,0.0,0.0,0.0,,2.0000484859570653,0.775,4075520,inf,31.0
chain,sampled_full_fisher,Same-batch full Fisher,80,0,0.0,0.0,0.0,0.0,,1.0002325116323363,0.6125,4075520,inf,496.0
chain,sampled_star_fisher,Graph-star Fisher,80,0,0.0,0.0,0.0,0.0,,2.0000551549828245,0.6875,4075520,inf,90.0
chain,sampled_two_block_fisher,Two-block Fisher,80,0,0.0,0.0,0.0,0.0,,1.500177444359908,0.65,4075520,inf,256.0
problem_tree,exact_natural_oracle,Exact natural oracle,80,76,0.95,0.85,0.95,1.0,5.828947368421052,0.06625969396461251,0.0,0,0.0,496.0
problem_tree,protected_ray_star,Protected target + star,80,35,0.4375,0.1875,0.4375,0.6875,21.142857142857142,1.0022855672854165,0.1875,2481920,70912.0,100.0
problem_tree,sampled_adam,Sampled Adam,80,61,0.7625,0.5874999999999999,0.7625000000000001,0.9125,94.34426229508196,0.09942692547079175,0.1125,2441216,40019.934426229505,62.0
problem_tree,sampled_bag_fisher,Elimination-bag Fisher,80,73,0.9125,0.7749999999999999,0.925,1.0,4.3561643835616435,0.0593004468526894,0.0125,438016,6000.219178082192,91.0
problem_tree,sampled_diagonal_fisher,Diagonal Fisher,80,66,0.825,0.6875,0.8374999999999999,0.925,3.4696969696969697,0.043789369493911254,0.075,771840,11694.545454545454,31.0
problem_tree,sampled_full_fisher,Same-batch full Fisher,80,75,0.9375,0.825,0.9375,1.0,5.28,0.06526201519359096,0.0,356096,4747.946666666667,496.0
problem_tree,sampled_star_fisher,Graph-star Fisher,80,71,0.8875,0.75,0.8999999999999999,0.975,3.971830985915493,0.048127825892614745,0.025,530688,7474.478873239436,100.0
problem_tree,sampled_two_block_fisher,Two-block Fisher,80,73,0.9125,0.7749999999999999,0.9125,1.0,3.958904109589041,0.0428595807860192,0.0125,430592,5898.520547945205,256.0
width2,exact_natural_oracle,Exact natural oracle,80,71,0.8875,0.8125,0.8875,0.95,11.492957746478874,0.0782777215640875,0.0,0,0.0,903.0
width2,protected_ray_star,Protected target + star,80,46,0.575,0.35,0.575,0.7875000000000001,24.152173913043477,0.08897499419052575,0.1875,2016512,43837.217391304344,199.5
width2,sampled_adam,Sampled Adam,80,32,0.4,0.225,0.4,0.5750000000000001,54.21875,1.0118655662048992,0.475,2889472,90296.0,85.0
width2,sampled_bag_fisher,Elimination-bag Fisher,80,37,0.4625,0.2875,0.4625,0.6499999999999999,4.756756756756757,1.000085646634011,0.15,2235648,60422.91891891892,268.5
width2,sampled_diagonal_fisher,Diagonal Fisher,80,29,0.3625,0.2,0.3625,0.5375,3.1379310344827585,1.0000254851269732,0.4,2621440,90394.4827586207,42.5
width2,sampled_full_fisher,Same-batch full Fisher,80,57,0.7125,0.5625,0.7125,0.85,7.105263157894737,0.0751243113395236,0.0125,1275392,22375.298245614034,924.5
width2,sampled_star_fisher,Graph-star Fisher,80,39,0.4875,0.3125,0.48750000000000004,0.6625000000000001,4.256410256410256,1.0000343925921547,0.2,2131200,54646.153846153844,199.5
width2,sampled_two_block_fisher,Two-block Fisher,80,38,0.475,0.3,0.475,0.6625,4.342105263157895,1.0000482159048536,0.1375,2181888,57418.10526315789,500.5
width3,exact_natural_oracle,Exact natural oracle,80,80,1.0,1.0,1.0,1.0,12.1375,0.0796760357322421,0.0,0,0.0,1128.0
width3,protected_ray_star,Protected target + star,80,71,0.8875,0.7375,0.8875,1.0,16.267605633802816,0.0679626158149631,0.0,754176,10622.197183098591,252.0
width3,sampled_adam,Sampled Adam,80,31,0.3875,0.275,0.3875,0.5,45.54838709677419,1.0092825110344004,0.525,2857728,92184.7741935484,94.0
width3,sampled_bag_fisher,Elimination-bag Fisher,80,45,0.5625,0.4375,0.5625,0.6875,5.288888888888889,0.07821054776074285,0.1875,1843968,40977.066666666666,419.5
width3,sampled_diagonal_fisher,Diagonal Fisher,80,34,0.425,0.30000000000000004,0.42500000000000004,0.5375,3.3529411764705883,1.0000241865625368,0.4,2372608,69782.58823529411,47.0
width3,sampled_full_fisher,Same-batch full Fisher,80,66,0.825,0.7625,0.825,0.8875000000000001,7.045454545454546,0.06944590506918841,0.025,832256,12609.939393939394,1128.0
width3,sampled_star_fisher,Graph-star Fisher,80,44,0.55,0.4375,0.55,0.65,3.8181818181818183,0.0885198553838284,0.2125,1876992,42658.90909090909,252.0
width3,sampled_two_block_fisher,Two-block Fisher,80,46,0.575,0.4625,0.575,0.6875,4.521739130434782,0.08656112665448559,0.1125,1785344,38811.82608695652,632.0
