sample_budget,method,trajectories,successes,success_rate,cluster_ci_low,cluster_ci_median,cluster_ci_high,mean_first_success_step,median_minimum_gap,mean_minimum_gap,trap_candidate_rate,total_samples,samples_per_observed_success,mean_first_direction_target_cosine,mean_first_sample_rank,mean_first_alignment_residual,median_stored_metric_entries
64,protected_ray_star,80,68,0.85,0.6625,0.85,1.0,14.264705882352942,0.07143828421445336,0.1677414840493397,0.025,214912,3160.470588235294,0.9790426614945513,37.75,0.39583489562688035,252.0
64,sampled_adam,80,29,0.3625,0.25,0.36250000000000004,0.475,49.206896551724135,1.012804449986092,0.7564972986915277,0.525,740864,25547.03448275862,0.18098249847648445,37.75,0.39583489562688035,94.0
64,sampled_full_fisher,80,54,0.675,0.5875000000000001,0.675,0.7625,6.796296296296297,0.08019947703313149,0.3721086709450205,0.0375,354624,6567.111111111111,0.5015837172410847,37.75,0.39583489562688035,1128.0
64,sampled_star_fisher,80,39,0.4875,0.36250000000000004,0.48750000000000004,0.6000000000000001,4.256410256410256,1.0001478375023647,0.5871946211370865,0.1875,532800,13661.538461538461,0.45678272361090677,37.75,0.39583489562688035,252.0
256,protected_ray_star,80,71,0.8875,0.7375,0.8875,1.0,16.267605633802816,0.0679626158149631,0.12372511056050314,0.0,754176,10622.197183098591,0.9789613105448,45.5875,0.38603808757877467,252.0
256,sampled_adam,80,31,0.3875,0.275,0.3875,0.5,45.54838709677419,1.0092825110344004,0.7069981474584824,0.525,2857728,92184.7741935484,0.23187289095574054,45.5875,0.38603808757877467,94.0
256,sampled_diagonal_fisher,80,34,0.425,0.3125,0.42500000000000004,0.5375,3.3529411764705883,1.0000241865625368,0.6649613961493973,0.4,2372608,69782.58823529411,0.3055827637450771,45.5875,0.38603808757877467,47.0
256,sampled_full_fisher,80,66,0.825,0.7625,0.825,0.8875000000000001,7.045454545454546,0.06944590506918841,0.2297777376212209,0.025,832256,12609.939393939394,0.7823205358460218,45.5875,0.38603808757877467,1128.0
256,sampled_star_fisher,80,44,0.55,0.4375,0.55,0.65,3.8181818181818183,0.0885198553838284,0.5004000267505887,0.2125,1876992,42658.90909090909,0.5798542626960275,45.5875,0.38603808757877467,252.0
256,sampled_two_block_fisher,80,46,0.575,0.4625,0.575,0.6875,4.521739130434782,0.08656112665448559,0.4529779078475971,0.1125,1785344,38811.82608695652,0.420153086762771,45.5875,0.38603808757877467,632.0
1024,protected_ray_star,80,70,0.875,0.725,0.8875,0.9875,16.385714285714286,0.0763645028339468,0.18297824048853345,0.0375,3212288,45889.828571428574,0.9788754451140791,47.1625,0.4031077331635693,252.0
1024,sampled_adam,80,33,0.4125,0.30000000000000004,0.4125,0.5249999999999999,42.96969696969697,1.0084015384813991,0.683749506819262,0.525,11029504,334227.3939393939,0.2559318328687409,47.1625,0.4031077331635693,94.0
1024,sampled_full_fisher,80,70,0.875,0.8,0.875,0.9375,7.3428571428571425,0.05863442361019805,0.17610073554812863,0.0,2564096,36629.94285714286,0.8726228226031122,47.1625,0.4031077331635693,1128.0
1024,sampled_star_fisher,80,45,0.5625,0.45,0.5625,0.6749999999999999,4.4,0.08589205334658785,0.4761942490663259,0.15,7334912,162998.04444444444,0.6264659809994788,47.1625,0.4031077331635693,252.0
