instance,n,m,target_edge_count,tree_count,ground_energy,ground_count,planted_is_ground,spectral_gap,beta_cert,beta_cert_residual,hamiltonian_max_residual,beta0_hot_identity_residual,max_projection_normalization_residual,max_projection_moment_residual,minimum_forward_kl,maximum_q_minus_full_variance,maximum_retained_fraction_minus_one,minimum_sigma_lambda_plus,minimum_sigma_rank,maximum_sigma_condition,hot_optimal_count,maxj_is_hot_optimal,best_fixed_tree_id,best_fixed_tree_hash,gate_a_longest_run,gate_a_instance_pass,max_defect_recovery,mean_power_advantage_fraction,gate_b_instance_pass,mean_gap_improvement,gate_c_instance_pass,gate_d_longest_run,gate_d_instance_pass,runtime_seconds
n8i1,8,6,15,1392,-6,1,True,1,4.72719336858,-3.60822483003e-16,0,0,7.92421683826e-15,4.88498130835e-15,-8.881784197e-16,-1.92025975873e-05,-0.00194456778984,2.04103211696e-06,15,41691.7891963,60,True,84,76de50de7ce9d11e,44,True,0.912918174722,0.0465964054851,True,-0.143465986542,False,50,True,8.742487578
n8i2,8,7,16,2308,-7,1,True,1,4.35393994314,-3.60822483003e-16,0,0,6.2172489379e-15,5.93969318174e-15,-8.881784197e-16,-1.33650969473e-05,-0.0011536045603,9.51812598724e-11,15,1574020281.11,40,True,1239,83875c8e893bb700,43,True,0.742266539447,0.0662083081088,True,-0.405106543592,False,39,True,23.074966003
n8i3,8,6,15,1168,-6,1,True,1,4.80331623945,5.27355936697e-16,0,0,6.2172489379e-15,7.66053886991e-15,-8.881784197e-16,-6.60830252161e-06,-0.000692642516793,3.96682704921e-09,15,26998117.8203,72,True,282,e655b6b7c4b034f9,37,True,0.742207057879,0.0579491905329,True,-0.0107755450978,False,42,True,6.831392922
n8i4,8,7,15,1180,-7,1,True,1,4.35399328168,-1.2490009027e-15,0,0,9.10382880193e-15,5.10702591328e-15,-8.881784197e-16,-1.86921385631e-05,-0.00161353113765,1.17630767798e-08,15,9954512.06691,20,True,1147,97f5e3762dca2e54,37,True,0.655364787038,0.0439047146983,True,-0.368455448023,False,44,True,7.616251076
n8i5,8,7,16,1855,-7,1,True,1,4.23411308123,1.4155343564e-15,0,0,7.1054273576e-15,4.88498130835e-15,-8.881784197e-16,-4.48969395779e-06,-0.000368901744461,4.20838433403e-08,15,3137519.51744,4,True,90,d6f2bd1a27aca763,44,True,0.853033458041,0.0494552329269,True,-0.058307864907,False,8,True,8.979430447
n8i6,8,7,17,4317,-7,1,True,1,4.22679664193,6.7446048746e-15,0,0,1.02973185534e-14,5.41233724505e-15,-8.881784197e-16,-9.08264317641e-06,-0.000739622873244,2.49951788617e-08,15,7487626.83941,112,True,2984,1dabfc710cbd5153,41,True,0.788040444491,0.0416611451859,True,-0.340039317669,False,55,True,20.884356776
n8i7,8,7,16,2378,-7,1,True,1,4.10360427698,4.9682480352e-15,0,0,7.9936057773e-15,5.09314812547e-15,-8.881784197e-16,-3.4892473606e-05,-0.00273306723671,5.05877696769e-08,15,2423870.56662,60,True,2136,2e390408c81073c8,41,True,0.671835234284,0.0392286174017,True,-0.412211036196,False,34,True,11.369073945
n8i8,8,6,16,2634,-6,1,True,1,4.86223571924,5.27355936697e-16,0,0,9.32587340685e-15,5.71764857682e-15,-8.881784197e-16,-2.61639706237e-06,-0.000278878588194,5.76476414523e-09,15,25950195.6045,320,True,236,0035f1fbbbd4e808,31,True,0.670949792409,0.0295484758497,True,-0.123730883446,False,42,True,12.749703346
n8i9,8,6,15,1255,-6,1,True,1,4.73284491434,-3.60822483003e-16,0,0,1.07136521876e-14,7.77156117238e-15,-8.881784197e-16,-1.55531678344e-05,-0.00158652701081,2.97728064396e-09,15,37629784.9796,146,True,100,f52e090a6d79ef00,30,True,0.336192219698,0.0254122165565,True,-0.0860600464606,False,38,True,7.206638618
n8i10,8,7,16,2325,-7,1,True,1,4.44942178809,-1.2490009027e-15,0,0,1.11022302463e-14,6.82787160144e-15,-8.881784197e-16,-2.25222610445e-07,-2.0038649991e-05,2.69139585138e-11,15,5029412862.37,30,True,942,50c104473cabb991,43,True,0.985638936928,0.0941290463942,True,-0.202459480238,False,46,True,11.631610893
