s,mean_a_qopt,mean_a_hot,mean_a_klopt,mean_a_best_fixed,mean_a_maxj,median_hot_defect_recovery,mean_gap_improvement_over_hot,median_gap_improvement_over_hot,fraction_hot_absent_q_near,fraction_q_kl_disjoint,mean_gap_qopt,mean_gap_hot,mean_gap_klopt,mean_gap_best_fixed
0,0.89120545919,0.89120545919,0.89120545919,0.826136588081,0.89120545919,0,0,0,0,0,6.6,6.6,6.6,6.6
0.025,0.823363591725,0.823363591725,0.823086393152,0.730236966134,0.817128664848,0,-0.00133581680908,-0.000761717101781,0,0.4,5.10120239753,5.09986658073,5.10019564114,5.22473819273
0.05,0.751601061768,0.751601061768,0.750084346776,0.644655373613,0.73493695784,0,-0.0040912335752,-0.00281547178383,0,0.5,4.3434814955,4.33939026192,4.33977302152,4.53584301728
0.075,0.688653207442,0.687638654348,0.685259175876,0.580847911344,0.658957303578,0,-0.00978054791816,-0.0110499680581,0.1,0.5,3.90122806176,3.89144751384,3.89205804444,4.12928029824
0.1,0.640552599078,0.637588935431,0.636861256554,0.539390921388,0.597326167216,0,-0.0091827526612,-0.00573243587634,0.1,0.3,3.60091071994,3.59172796728,3.59287445446,3.85506113132
0.125,0.606894900639,0.602140707228,0.601446257424,0.517195842297,0.552176551058,0,-0.0179974663642,-0.00880374164945,0.1,0.4,3.38849369748,3.37049623112,3.36957195673,3.65072387828
0.15,0.586916015928,0.579800630471,0.580776623782,0.51043881073,0.522223439261,0,-0.0320236481539,-0.0148979020981,0.1,0.4,3.22670851071,3.19468486256,3.19424567505,3.4866374018
0.175,0.577703968208,0.567955397103,0.569933591585,0.515461453048,0.504881940294,0,-0.0455274898728,-0.0230510419012,0.2,0.4,3.09294678267,3.0474192928,3.04629550589,3.34711819507
0.2,0.577018022063,0.564195899943,0.565576422665,0.529098735381,0.497438207053,0,-0.0685007297806,-0.0229650964359,0.3,0.5,2.98505050857,2.91654977879,2.91483386853,3.22308088532
0.225,0.58341438364,0.566184137264,0.566768993041,0.548787358657,0.497557273696,0.0160282361986,-0.103393494255,-0.0331900663177,0.5,0.6,2.90039268376,2.79699918951,2.79555645323,3.10884008485
0.25,0.601109365883,0.572709855081,0.573790002347,0.572540251732,0.503420830841,0.06541780887,-0.333777781308,-0.130549527479,0.7,0.8,3.01804953284,2.68427175154,2.68589144157,3.00059611608
0.275,0.623394784295,0.5839047033,0.593546717618,0.598850516299,0.513686006218,0.0883962528356,-0.412397621429,-0.134720053258,0.7,0.9,2.98768307648,2.57528545505,2.5844793727,2.89567861257
0.3,0.647238317479,0.598420908549,0.604213621607,0.626577695709,0.527376409033,0.111237491802,-0.442553719723,-0.201221130568,0.7,1,2.91169533713,2.46914161741,2.47149182037,2.79215859864
0.325,0.672987547697,0.615309775427,0.620717276968,0.65484797219,0.543764885238,0.133882895523,-0.556290535074,-0.304236454577,0.8,1,2.9202784031,2.36398786802,2.36381621854,2.68864721678
0.35,0.700304705327,0.634417407501,0.638824240217,0.68298057296,0.562275988109,0.162040824181,-0.597224866331,-0.386839503679,0.9,1,2.85666204996,2.25943718363,2.25616222551,2.58418849915
